,Year,State,TMAX_AVG,Population,meat_consumption,co2_emission,petroleum_emission,natural_gas_emission,electricity_emission,coal_emission,coal_consumption,natural_gas_consumption,petroleum_consumption
145,1992,VT,111.832615852235,570115.0,34398.0,6.1,5.7,0.4,0.0,0.0,0.0,800980.0,5620.0
146,1992,WA,144.79849428030056,5139011.0,607681.0,73.4,53.8,9.5,10.2,10.1,3085135.5,4940604.8,28481.5
147,1992,WI,116.16271050603832,5004636.0,973957.0,87.1,31.7,17.7,33.6,37.6,7464081.2,2007830.8,139493.0
148,1992,WV,164.85655429598094,1805462.0,107591.0,97.3,12.7,7.2,67.9,77.3,11602388.8,487938.8,208007.5
149,1992,WY,120.82455381490418,463491.0,578664.0,60.9,7.2,6.9,42.4,46.8,16847657.333333332,2279498.0,69747.33333333333
150,1993,AK,69.37152143512608,596993.0,922.0,36.3,15.2,19.9,2.3,1.3,263447.3333333333,25046906.666666668,545210.0
151,1993,AL,232.03865758052055,4193114.0,402501.0,125.2,32.7,16.0,64.0,76.9,13917355.5,5697563.6,263270.0
152,1993,AR,214.00333279413138,2423743.0,515809.0,50.4,19.2,12.3,19.5,19.0,7425138.666666667,15690206.0,71496.0
153,1993,AZ,236.0436057806848,3993390.0,621194.0,68.6,25.6,6.2,36.9,37.0,12287592.666666666,10593485.5,74438.0
154,1993,CA,208.68642333917805,31147208.0,1671059.0,337.9,213.7,117.2,42.0,8.0,789963.5,237094907.66666666,2044007.0
155,1993,CO,127.14822208089868,3560884.0,2621003.0,71.8,23.4,15.6,32.0,33.0,10909024.666666666,4585489.0,11250.8
156,1993,CT,149.7316355528768,3272325.0,17912.0,38.1,28.0,6.7,7.6,3.5,934383.3333333334,3671625.0,2456308.6666666665
157,1993,DE,185.5036529679452,699475.0,14223.0,17.7,9.4,2.3,7.6,6.0,1530684.0,5789243.333333333,2675930.0
158,1993,FL,277.2760729649315,13713593.0,376401.0,194.3,113.4,19.4,96.0,62.1,12800925.5,66225839.0,18352932.333333332
159,1993,GA,236.93563424490407,6894092.0,455857.0,139.5,58.7,19.0,58.4,62.2,17210146.0,3027710.8,1110067.6
160,1993,HI,260.78618985369854,1161508.0,33480.0,18.9,17.3,0.1,7.2,1.5,402446.0,0.0,6302697.5
161,1993,IA,129.0849460844055,2820525.0,5011148.0,67.4,21.8,13.2,28.0,32.6,6869338.4,2244114.6666666665,54451.2
162,1993,ID,116.9679120721863,1101204.0,695782.0,12.4,8.4,3.1,0.0,0.9,37380.0,1674454.0,486.0
163,1993,IL,156.08366741565763,11725984.0,1913789.0,202.8,70.7,55.8,64.4,77.0,16329013.0,10284572.8,857300.4
164,1993,IN,155.5607367056931,5701965.0,1156947.0,201.8,49.9,27.7,98.3,124.8,24661936.5,5579144.5,380427.0
165,1993,KS,175.06903630424117,2547605.0,4666453.0,70.7,21.8,20.5,29.6,28.7,17225551.0,15876839.333333334,171360.0
166,1993,KY,192.25221995238596,3792288.0,919060.0,131.7,33.5,11.2,78.3,87.3,35263783.0,268552.0,214157.0
167,1993,LA,243.8966568049039,4284749.0,212836.0,215.9,108.6,86.7,37.5,21.2,8742142.666666666,115073597.66666667,2534193.2
168,1993,MA,147.35623500411225,6010884.0,15068.0,80.9,53.2,18.6,22.4,9.5,1845789.0,26027530.666666668,6395718.0
