,State,date,metric_name,metric_value,var4
268091,OK,19910909,PRCP,4.721590909090909,767.2619047619048
268093,OK,19910909,SNOW,0.0,
268096,OK,19910909,TMAX,327.03125,1455.5208333333333
268097,OK,19910909,TMIN,214.08333333333334,1455.5208333333333
268103,OK,19910910,PRCP,1.4831460674157304,767.6470588235294
268105,OK,19910910,SNOW,0.0,
268108,OK,19910910,TMAX,329.17525773195877,1459.0721649484535
268109,OK,19910910,TMIN,203.92708333333334,1455.5208333333333
268116,OK,19910911,PRCP,0.398876404494382,767.6470588235294
268118,OK,19910911,SNOW,0.0,
268121,OK,19910911,TMAX,327.6979166666667,1454.4791666666667
268122,OK,19910911,TMIN,210.30208333333334,1454.4791666666667
268129,OK,19910912,PRCP,0.2247191011235955,767.6470588235294
268131,OK,19910912,SNOW,0.0,
268134,OK,19910912,TMAX,326.2842105263158,1461.3684210526317
268135,OK,19910912,TMIN,209.90526315789472,1461.3684210526317
268143,OK,19910913,PRCP,8.485875706214689,768.0473372781065
268145,OK,19910913,SNOW,0.0,
268148,OK,19910913,TMAX,320.6914893617021,1458.8297872340424
268149,OK,19910913,TMIN,210.5531914893617,1458.8297872340424
268158,OK,19910914,PRCP,51.46590909090909,767.8571428571429
268160,OK,19910914,SNOW,0.0,
268163,OK,19910914,TMAX,305.6774193548387,1466.989247311828
268164,OK,19910914,TMIN,214.0108695652174,1474.2391304347825
268175,OK,19910915,PRCP,35.66477272727273,767.8571428571429
268177,OK,19910915,SNOW,0.0,
268180,OK,19910915,TMAX,303.5744680851064,1469.468085106383
268181,OK,19910915,TMIN,215.4787234042553,1469.468085106383
268194,OK,19910916,PRCP,198.73863636363637,768.452380952381
268196,OK,19910916,SNOW,0.0,
268199,OK,19910916,TMAX,281.82105263157894,1461.3684210526317
268200,OK,19910916,TMIN,179.4842105263158,1461.3684210526317
268211,OK,19910917,PRCP,59.09770114942529,769.277108433735
268213,OK,19910917,SNOW,0.0,
268216,OK,19910917,TMAX,266.9270833333333,1454.4791666666667
268217,OK,19910917,TMIN,175.6875,1454.4791666666667
268226,OK,19910918,PRCP,122.15254237288136,768.0473372781065
268228,OK,19910918,SNOW,0.0,
268231,OK,19910918,TMAX,252.86315789473684,1450.842105263158
268232,OK,19910918,TMIN,120.14893617021276,1447.127659574468
268243,OK,19910919,PRCP,145.4375,768.452380952381
268245,OK,19910919,SNOW,0.0,
268248,OK,19910919,TMAX,171.8125,1454.4791666666667
268249,OK,19910919,TMIN,67.95833333333333,1454.4791666666667
268256,OK,19910920,PRCP,0.6761363636363636,768.452380952381
268258,OK,19910920,SNOW,0.0,
268261,OK,19910920,TMAX,176.48936170212767,1459.8936170212767
268262,OK,19910920,TMIN,85.5,1459.8936170212767
268269,OK,19910921,PRCP,1.937142857142857,768.2634730538922
268271,OK,19910921,SNOW,0.0,
268274,OK,19910921,TMAX,210.0215053763441,1465.9139784946237
268275,OK,19910921,TMIN,103.76344086021506,1465.9139784946237
268285,OK,19910922,PRCP,19.614942528735632,768.0722891566265
268287,OK,19910922,SNOW,0.0,
268290,OK,19910922,TMAX,223.3586956521739,1473.1521739130435
268291,OK,19910922,TMIN,131.3804347826087,1473.1521739130435
268306,OK,19910923,PRCP,48.06857142857143,767.6646706586827
268308,OK,19910923,SNOW,0.0,
268311,OK,19910923,TMAX,216.8125,1454.4791666666667
268312,OK,19910923,TMIN,103.83333333333333,1454.4791666666667
268322,OK,19910924,PRCP,24.876404494382022,767.6470588235294
268324,OK,19910924,SNOW,0.0,
268327,OK,19910924,TMAX,212.55789473684212,1450.842105263158
268328,OK,19910924,TMIN,121.10526315789474,1450.842105263158
268339,OK,19910925,PRCP,21.333333333333332,767.4556213017752
268341,OK,19910925,SNOW,0.0,
268344,OK,19910925,TMAX,245.57894736842104,1450.842105263158
268345,OK,19910925,TMIN,63.536842105263155,1450.842105263158
268352,OK,19910926,PRCP,0.0847457627118644,768.0473372781065
268354,OK,19910926,SNOW,0.0,
268357,OK,19910926,TMAX,259.9263157894737,1450.842105263158
268358,OK,19910926,TMIN,84.2421052631579,1450.842105263158
268368,OK,19910927,PRCP,0.0,767.6470588235294
268370,OK,19910927,SNOW,0.0,
268373,OK,19910927,TMAX,261.3958333333333,1456.5625
268374,OK,19910927,TMIN,90.42708333333333,1456.5625
268381,OK,19910928,PRCP,0.0,767.6470588235294
268383,OK,19910928,SNOW,0.0,
268386,OK,19910928,TMAX,271.29347826086956,1463.3695652173913
268387,OK,19910928,TMIN,109.65217391304348,1463.3695652173913
268394,OK,19910929,PRCP,0.16853932584269662,767.6470588235294
268396,OK,19910929,SNOW,0.0,
268399,OK,19910929,TMAX,269.7282608695652,1474.2391304347825
268400,OK,19910929,TMIN,105.47826086956522,1474.2391304347825
268411,OK,19910930,PRCP,0.0,762.5
268413,OK,19910930,SNOW,0.0,
268416,OK,19910930,TMAX,272.42105263157896,1452.9473684210527
268417,OK,19910930,TMIN,110.33684210526316,1452.9473684210527
268424,OK,19911001,PRCP,0.0,767.4556213017752
268426,OK,19911001,SNOW,0.0,
268429,OK,19911001,TMAX,280.85263157894735,1462.421052631579
268430,OK,19911001,TMIN,121.03157894736842,1462.421052631579
268437,OK,19911002,PRCP,0.0,767.8571428571429
268439,OK,19911002,SNOW,0.0,
268442,OK,19911002,TMAX,298.28125,1465.9375
268443,OK,19911002,TMIN,141.07291666666666,1465.9375
268450,OK,19911003,PRCP,0.4034090909090909,767.8571428571429
268452,OK,19911003,SNOW,0.0,
